api.red_dot.get_129.300 ms
	rktest|app.models.user_state.UserState|1.100053:	2
	rktest|app.models.game_info.GameInfo|1.100053:	3
	rktest|app.models.game_wgzz_icons.GameWgzzIcons|1.100053:	2
	rktest|app.models.vip.Vip|1.100053:	5
	rktest|app.models.daily_tasks.DailyTasks|1.100053:	2
	rktest|app.models.user_lv_manage.UserLvManage|1.100053:	4
	rktest|app.models.user.User|1.100053:	9
	rktest|app.models.user_mapping.UserMapping|0_c0bcb0f48a9d11ea8697000c290e82ac:	2
	rktest|app.models.main_task.MainTask|1.100053_10001:	2
	rktest|app.models.tasks.Tasks|1.100053:	3
	rktest|app.models.marriage_room.MarriageRoom|1.100053:	2
api.login_26.162 ms
	rktest|app.models.user_lv_manage.UserLvManage|1.100049:	3
	rktest|app.models.user_mapping.UserMapping|0_3bfa25d68a9311eaa8f3000c290e82ac:	2
	rktest|app.models.user.User|1.100049:	6
	rktest|app.models.vip.Vip|1.100049:	3
api.items.use_box_68.095 ms
	rktest|app.models.vip.Vip|1.100053:	2
	rktest|app.models.game_wgzz_icons.GameWgzzIcons|1.100053:	2
	rktest|app.models.user.User|1.100053:	2
	rktest|app.models.user_state.UserState|1.100053:	2
	rktest|app.models.user_lv_manage.UserLvManage|1.100053:	2
	rktest|app.models.user_mapping.UserMapping|0_c0bcb0f48a9d11ea8697000c290e82ac:	2
	rktest|app.models.main_task.MainTask|1.100053_10001:	2
	rktest|app.models.game_info.GameInfo|1.100053:	2
	rktest|app.models.tasks.Tasks|1.100053:	2
api.user.reload_game_236.132 ms
	rktest|app.models.children_garden.ChildrenGarden|1.100049:	4
	rktest|app.models.vip.Vip|1.100049:	9
	rktest|app.models.own_league_global_info.OwnLeagueGlobalInfo|1.100049:	2
	rktest|app.models.marriage_room.MarriageRoom|1.100049:	4
	rktest|app.models.user.User|1.100049:	16
	rktest|app.models.card_package.CardPackage|1.100049:	4
	rktest|app.models.wing_room.WingRoom|1.100049:	5
	rktest|app.models.league.League|5a91b75e6ec611ea85ad000c29a82b41:	3
	rktest|app.models.tasks.Tasks|1.100049:	2
	rktest|app.models.user_lv_manage.UserLvManage|1.100049:	4
	rktest|app.models.game_info.GameInfo|1.100049:	4
api.red_dot.get_130.636 ms
	rktest|app.models.user_state.UserState|1.100053:	2
	rktest|app.models.game_info.GameInfo|1.100053:	3
	rktest|app.models.game_wgzz_icons.GameWgzzIcons|1.100053:	2
	rktest|app.models.vip.Vip|1.100053:	5
	rktest|app.models.daily_tasks.DailyTasks|1.100053:	2
	rktest|app.models.user_lv_manage.UserLvManage|1.100053:	4
	rktest|app.models.user.User|1.100053:	9
	rktest|app.models.user_mapping.UserMapping|0_c0bcb0f48a9d11ea8697000c290e82ac:	2
	rktest|app.models.main_task.MainTask|1.100053_10001:	2
	rktest|app.models.tasks.Tasks|1.100053:	3
	rktest|app.models.marriage_room.MarriageRoom|1.100053:	2
api.red_dot.get_126.345 ms
	rktest|app.models.user_lv_manage.UserLvManage|1.100055:	3
	rktest|app.models.game_info.GameInfo|1.100055:	2
	rktest|app.models.user.User|1.100055:	8
	rktest|app.models.vip.Vip|1.100055:	4
	rktest|app.models.tasks.Tasks|1.100055:	2
	rktest|app.models.marriage_room.MarriageRoom|1.100055:	2
api.red_dot.get_124.198 ms
	rktest|app.models.user_state.UserState|1.100053:	2
	rktest|app.models.game_info.GameInfo|1.100053:	3
	rktest|app.models.game_wgzz_icons.GameWgzzIcons|1.100053:	2
	rktest|app.models.vip.Vip|1.100053:	5
	rktest|app.models.daily_tasks.DailyTasks|1.100053:	2
	rktest|app.models.user_lv_manage.UserLvManage|1.100053:	4
	rktest|app.models.user.User|1.100053:	9
	rktest|app.models.user_mapping.UserMapping|0_c0bcb0f48a9d11ea8697000c290e82ac:	2
	rktest|app.models.main_task.MainTask|1.100053_10001:	2
	rktest|app.models.tasks.Tasks|1.100053:	3
	rktest|app.models.marriage_room.MarriageRoom|1.100053:	2
api.red_dot.get_124.780 ms
	rktest|app.models.user_state.UserState|1.100053:	2
	rktest|app.models.game_info.GameInfo|1.100053:	3
	rktest|app.models.game_wgzz_icons.GameWgzzIcons|1.100053:	2
	rktest|app.models.vip.Vip|1.100053:	5
	rktest|app.models.daily_tasks.DailyTasks|1.100053:	2
	rktest|app.models.user_lv_manage.UserLvManage|1.100053:	4
	rktest|app.models.user.User|1.100053:	9
	rktest|app.models.user_mapping.UserMapping|0_c0bcb0f48a9d11ea8697000c290e82ac:	2
	rktest|app.models.main_task.MainTask|1.100053_10001:	2
	rktest|app.models.tasks.Tasks|1.100053:	3
	rktest|app.models.marriage_room.MarriageRoom|1.100053:	2
api.red_dot.get_128.640 ms
	rktest|app.models.user_lv_manage.UserLvManage|1.100055:	3
	rktest|app.models.game_info.GameInfo|1.100055:	2
	rktest|app.models.user.User|1.100055:	8
	rktest|app.models.vip.Vip|1.100055:	4
	rktest|app.models.tasks.Tasks|1.100055:	2
	rktest|app.models.marriage_room.MarriageRoom|1.100055:	2
api.stores.commodities.get_46.617 ms
	rktest|app.models.game_wgzz_icons.GameWgzzIcons|1.100049:	2
	rktest|app.models.user_lv_manage.UserLvManage|1.100049:	2
	rktest|app.models.tasks.Tasks|1.100049:	2
	rktest|app.models.user.User|1.100049:	2
	rktest|app.models.vip.Vip|1.100049:	2
	rktest|app.models.main_task.MainTask|1.100049_10004:	2
	rktest|app.models.game_info.GameInfo|1.100049:	2
	rktest|app.models.user_mapping.UserMapping|0_3bfa25d68a9311eaa8f3000c290e82ac:	2
	rktest|app.models.user_state.UserState|1.100049:	2
api.red_dot.get_128.937 ms
	rktest|app.models.user_state.UserState|1.100053:	2
	rktest|app.models.game_info.GameInfo|1.100053:	3
	rktest|app.models.game_wgzz_icons.GameWgzzIcons|1.100053:	2
	rktest|app.models.vip.Vip|1.100053:	5
	rktest|app.models.daily_tasks.DailyTasks|1.100053:	2
	rktest|app.models.user_lv_manage.UserLvManage|1.100053:	4
	rktest|app.models.user.User|1.100053:	9
	rktest|app.models.user_mapping.UserMapping|0_c0bcb0f48a9d11ea8697000c290e82ac:	2
	rktest|app.models.main_task.MainTask|1.100053_10001:	2
	rktest|app.models.tasks.Tasks|1.100053:	3
	rktest|app.models.marriage_room.MarriageRoom|1.100053:	2
api.red_dot.get_135.872 ms
	rktest|app.models.user_state.UserState|1.100053:	2
	rktest|app.models.game_info.GameInfo|1.100053:	3
	rktest|app.models.game_wgzz_icons.GameWgzzIcons|1.100053:	2
	rktest|app.models.vip.Vip|1.100053:	5
	rktest|app.models.daily_tasks.DailyTasks|1.100053:	2
	rktest|app.models.user_lv_manage.UserLvManage|1.100053:	4
	rktest|app.models.user.User|1.100053:	9
	rktest|app.models.user_mapping.UserMapping|0_c0bcb0f48a9d11ea8697000c290e82ac:	2
	rktest|app.models.main_task.MainTask|1.100053_10001:	2
	rktest|app.models.tasks.Tasks|1.100053:	3
	rktest|app.models.marriage_room.MarriageRoom|1.100053:	2
api.plot.get_plot_info_48.162 ms
	rktest|app.models.vip.Vip|1.100053:	2
	rktest|app.models.game_info.GameInfo|1.100053:	2
	rktest|app.models.user_lv_manage.UserLvManage|1.100053:	2
